vhu,source,destination,started_at,completed_at
357020141239046663,6-12-01-10-015-30,6-12-01-10-999-01,15.03.2021 14:52:30,15.03.2021 14:52:53
357020141243054111,6-12-20-03-234-01,SPE_22,15.03.2021 14:52:39,15.03.2021 14:53:06
357020141243063670,SPE_04,6-13-01-17-999-01,15.03.2021 14:52:41,15.03.2021 14:52:45
357020141243062642,SPE_04,6-13-01-17-999-01,15.03.2021 14:52:46,15.03.2021 14:52:49
357020141243062871,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:52:48,15.03.2021 14:53:12
357020141236745323,6-13-01-16-047-21,6-13-01-16-998-01,15.03.2021 14:52:57,15.03.2021 14:53:26
357020141237510241,6-12-01-22-028-40,6-12-01-22-998-01,15.03.2021 14:53:03,15.03.2021 14:53:52
357020141242964886,6-13-01-03-999-01,6-13-01-03-023-40,15.03.2021 14:53:07,15.03.2021 14:53:10
357020141243054425,SPE_22,6-12-33-08-999-01,15.03.2021 14:53:08,15.03.2021 14:53:11
357020141243061003,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:53:14,15.03.2021 14:53:15
357020141238502337,6-02-01-09-042-60,6-02-01-09-999-01,15.03.2021 14:53:22,15.03.2021 14:53:56
357020141243063571,6-02-03-02-924-01,6-02-80-90-007-01,15.03.2021 14:53:25,15.03.2021 14:53:25
357020141238449250,6-13-01-03-025-30,6-13-01-03-999-01,15.03.2021 14:53:26,15.03.2021 14:53:57
357020141243054111,SPE_22,SPE_22,15.03.2021 14:53:27,15.03.2021 14:54:21
357020141240649501,6-13-01-29-021-50,6-13-01-29-889-01,15.03.2021 14:53:27,15.03.2021 14:54:05
357020141243026934,SPE_07,6-13-01-19-999-01,15.03.2021 14:53:27,15.03.2021 14:53:32
357020141243047373,6-02-03-02-924-01,6-02-80-90-007-01,15.03.2021 14:53:28,15.03.2021 14:53:28
357020141237376175,6-02-01-15-065-30,6-02-01-15-999-01,15.03.2021 14:53:29,15.03.2021 14:54:16
357020141239046618,6-12-01-10-019-70,6-12-01-10-999-01,15.03.2021 14:53:45,15.03.2021 14:54:23
357020141243059482,6-12-20-03-233-01,6-12-20-03-233-01,15.03.2021 14:54:03,15.03.2021 14:54:07
357020141243053633,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:54:04,15.03.2021 14:54:39
357020141237393301,6-12-01-22-026-30,6-12-01-22-998-01,15.03.2021 14:54:08,15.03.2021 14:54:36
357020141243054715,6-12-20-03-233-01,6-12-20-03-233-01,15.03.2021 14:54:10,15.03.2021 14:54:13
357020141243059482,6-12-20-03-233-01,6-12-20-03-999-01,15.03.2021 14:54:15,15.03.2021 14:55:14
357020141243066114,6-02-03-06-999-01,6-02-01-07-888-01,15.03.2021 14:54:20,15.03.2021 14:56:21
357020141239556988,6-13-01-03-031-50,6-13-01-03-999-01,15.03.2021 14:54:33,15.03.2021 14:55:02
357020141241522629,6-13-01-19-048-50,6-13-01-19-998-01,15.03.2021 14:54:38,15.03.2021 14:55:18
357020141243052094,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:54:40,15.03.2021 14:54:41
357020141243064219,6-13-08-03-888-01,6-13-01-27-059-21,15.03.2021 14:54:50,15.03.2021 14:56:03
357020141237379213,6-02-01-15-063-40,6-02-01-15-999-01,15.03.2021 14:54:54,15.03.2021 14:55:54
357020141240601820,6-12-01-10-033-20,6-12-01-10-998-01,15.03.2021 14:54:55,15.03.2021 14:55:21
357020141243045782,6-13-20-02-025-01,SPE_36,15.03.2021 14:54:58,15.03.2021 14:55:19
357020141243053466,6-13-20-02-024-01,6-13-66-60-006-02,15.03.2021 14:55:21,15.03.2021 14:56:16
357020141243050687,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:55:25,15.03.2021 14:55:52
357020141243057877,6-12-20-03-233-01,6-12-20-03-233-01,15.03.2021 14:55:29,15.03.2021 14:55:51
357020141240458103,6-13-01-30-013-20,6-13-01-30-999-01,15.03.2021 14:55:29,15.03.2021 14:55:32
357020141237413290,6-02-01-10-079-20,6-02-01-10-999-01,15.03.2021 14:55:32,15.03.2021 14:56:12
357020141241296520,6-13-01-03-037-20,6-13-01-03-999-01,15.03.2021 14:55:34,15.03.2021 14:56:00
357020141240726448,6-13-01-19-034-50,6-13-01-19-998-01,15.03.2021 14:55:50,15.03.2021 14:56:23
357020141239915921,6-12-01-23-033-10,6-12-01-21-999-01,15.03.2021 14:55:50,15.03.2021 14:57:19
357020141243049117,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:55:53,15.03.2021 14:55:55
357020141240032501,6-12-01-10-018-30,6-12-01-10-998-01,15.03.2021 14:56:01,15.03.2021 14:56:27
357020141243036605,6-13-20-02-023-01,6-13-66-20-999-01,15.03.2021 14:56:13,15.03.2021 14:57:04
357020141243053466,6-13-66-60-006-02,6-13-66-60-006-01,15.03.2021 14:56:26,15.03.2021 14:56:29
357020141242944932,6-02-01-15-999-01,6-02-01-15-022-21,15.03.2021 14:56:27,15.03.2021 14:56:51
357020141243054937,6-12-20-03-234-01,6-12-20-03-234-01,15.03.2021 14:56:30,15.03.2021 14:56:58
357020141242506437,6-13-01-03-039-60,6-13-01-03-999-01,15.03.2021 14:56:45,15.03.2021 14:57:17
357020141243066312,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:56:47,15.03.2021 14:57:11
357020141243045782,SPE_36,6-13-66-60-007-01,15.03.2021 14:56:48,15.03.2021 14:56:51
357020141243054395,6-12-03-04-908-01,6-12-03-04-887-01,15.03.2021 14:57:04,15.03.2021 14:57:04
357020141243064677,6-12-03-04-921-01,6-12-80-90-047-01,15.03.2021 14:57:13,15.03.2021 14:57:14
357020141243046642,6-02-01-15-999-01,6-02-01-15-026-40,15.03.2021 14:57:18,15.03.2021 14:57:49
357020141243066503,6-12-03-04-908-01,6-12-03-04-887-01,15.03.2021 14:57:19,15.03.2021 14:57:19
357020141242216787,6-12-01-14-016-40,6-12-01-14-998-01,15.03.2021 14:57:37,15.03.2021 14:58:02
357020141243061805,6-12-20-03-233-01,6-12-20-03-231-01,15.03.2021 14:57:38,15.03.2021 14:58:21
357020141243051400,6-12-03-04-887-01,6-12-03-04-887-01,15.03.2021 14:57:51,15.03.2021 14:57:51
357020141238634779,6-13-01-03-055-60,6-13-01-03-999-01,15.03.2021 14:57:55,15.03.2021 14:58:38
357020141210751807,6-12-01-21-025-30,6-12-01-21-999-01,15.03.2021 14:57:58,15.03.2021 14:58:28
357020141243053671,6-12-03-04-908-01,6-12-03-04-887-01,15.03.2021 14:58:06,15.03.2021 14:58:06
357020141243051196,6-12-20-02-075-01,6-02-01-08-999-01,15.03.2021 14:58:14,15.03.2021 14:59:18
357020141242944963,6-02-01-15-999-01,6-02-01-15-034-40,15.03.2021 14:58:15,15.03.2021 14:58:42
357020141243047540,6-12-20-03-232-01,6-12-20-03-231-01,15.03.2021 14:58:27,15.03.2021 14:59:25
357020141242216909,6-12-01-14-020-40,6-12-01-14-998-01,15.03.2021 14:58:36,15.03.2021 14:59:03
357020141243062833,6-12-03-04-908-01,6-12-03-04-887-01,15.03.2021 14:58:38,15.03.2021 14:58:38
357020141243065049,6-12-03-04-908-01,6-12-03-04-887-01,15.03.2021 14:58:54,15.03.2021 14:58:54
357020141239047707,6-13-01-22-046-10,6-13-01-22-998-01,15.03.2021 14:59:13,15.03.2021 14:59:20
357020141243046826,6-02-01-15-999-01,6-02-01-15-032-50,15.03.2021 14:59:15,15.03.2021 14:59:44
357020141243063830,6-12-03-04-920-01,6-12-80-90-045-01,15.03.2021 14:59:51,15.03.2021 15:00:17
357020141241257842,6-12-01-15-029-30,6-12-01-15-999-01,15.03.2021 14:59:54,15.03.2021 15:00:13
357020141243068965,6-13-03-01-999-01,6-13-01-04-999-01,15.03.2021 15:00:11,15.03.2021 15:01:59
357020141241953744,6-13-01-24-040-40,6-13-01-24-998-01,15.03.2021 15:00:16,15.03.2021 15:00:50
357020141243062741,6-12-03-04-920-01,6-12-80-90-045-01,15.03.2021 15:00:19,15.03.2021 15:00:19
357020141243000934,6-13-01-24-998-01,6-13-01-24-016-20,15.03.2021 15:01:12,15.03.2021 15:02:08
357020141237606579,6-12-01-02-043-23,6-12-01-02-889-01,15.03.2021 15:01:29,15.03.2021 15:02:00
357020141243069016,SPE_31,6-13-01-04-999-01,15.03.2021 15:02:05,15.03.2021 15:02:09
357020141241257842,6-12-01-15-999-01,6-12-01-19-999-01,15.03.2021 15:02:08,15.03.2021 15:02:10
357020141243000972,6-13-01-24-998-01,6-13-01-24-024-20,15.03.2021 15:02:22,15.03.2021 15:03:03
357020141240378210,6-12-01-19-039-40,6-12-01-19-999-01,15.03.2021 15:02:42,15.03.2021 15:03:10
357020141243055224,6-13-20-02-024-01,SPE_16,15.03.2021 15:02:57,15.03.2021 15:03:21
357020141243000996,6-13-01-24-998-01,6-13-01-24-022-20,15.03.2021 15:03:18,15.03.2021 15:03:58
357020141243055989,6-13-20-02-024-01,6-13-77-15-999-01,15.03.2021 15:03:31,15.03.2021 15:05:01
357020141094752778,6-12-01-10-056-11,6-12-01-10-888-01,15.03.2021 15:04:00,15.03.2021 15:05:45
357020141237043961,6-12-01-21-023-40,6-12-01-21-999-01,15.03.2021 15:04:11,15.03.2021 15:05:15
357020141236728845,6-13-01-24-060-21,6-13-01-24-998-01,15.03.2021 15:04:25,15.03.2021 15:04:53
357020141243055224,SPE_16,6-13-77-15-999-01,15.03.2021 15:05:03,15.03.2021 15:05:07
357020141243071187,SPE_31,6-13-01-05-999-01,15.03.2021 15:05:04,15.03.2021 15:07:11
357020141243002938,6-13-01-24-999-01,6-13-01-24-017-20,15.03.2021 15:05:29,15.03.2021 15:06:08
357020141242969928,6-12-01-20-998-01,6-12-01-20-038-30,15.03.2021 15:05:50,15.03.2021 15:06:47
357020141094752778,6-12-01-10-888-01,6-12-01-17-047-10,15.03.2021 15:06:11,15.03.2021 15:07:13
357020141243002945,6-13-01-24-999-01,6-13-01-24-013-30,15.03.2021 15:06:24,15.03.2021 15:07:06
357020141243042095,6-13-20-02-022-01,SPE_29,15.03.2021 15:06:41,15.03.2021 15:07:04
357020141243045249,6-13-20-02-022-01,6-13-66-60-010-01,15.03.2021 15:07:06,15.03.2021 15:08:31
357020141243068217,6-02-03-02-915-01,6-02-80-90-007-01,15.03.2021 15:07:07,15.03.2021 15:09:42
357020141243071149,6-13-03-01-999-01,6-13-01-05-999-01,15.03.2021 15:07:13,15.03.2021 15:07:17
357020141243003119,6-13-01-24-999-01,6-13-01-24-015-20,15.03.2021 15:07:20,15.03.2021 15:07:37
357020141242996962,6-12-01-20-998-01,6-12-01-20-042-40,15.03.2021 15:07:35,15.03.2021 15:08:15
357020141236745903,6-13-01-24-049-23,6-13-01-24-999-01,15.03.2021 15:08:14,15.03.2021 15:08:47
357020141242972324,6-12-01-20-999-01,6-12-01-20-017-50,15.03.2021 15:08:42,15.03.2021 15:09:18
357020141243042095,SPE_29,6-13-66-60-009-01,15.03.2021 15:08:43,15.03.2021 15:09:08
357020141242934292,6-12-01-08-999-01,6-12-01-08-021-30,15.03.2021 15:08:53,15.03.2021 15:09:41
357020141242987762,6-12-01-20-999-01,6-12-01-20-015-50,15.03.2021 15:09:36,15.03.2021 15:10:13
357020141243049353,6-02-03-02-915-01,6-02-80-90-007-01,15.03.2021 15:09:45,15.03.2021 15:09:46
357020141243056726,6-02-03-05-918-01,6-02-80-90-008-01,15.03.2021 15:10:01,15.03.2021 15:10:24
357020141243073167,SPE_31,6-13-01-05-999-01,15.03.2021 15:10:20,15.03.2021 15:12:14
357020141243069085,6-02-03-05-918-01,6-02-80-90-008-01,15.03.2021 15:10:35,15.03.2021 15:10:47
357020141242907791,6-12-01-08-999-01,6-12-01-08-041-22,15.03.2021 15:10:35,15.03.2021 15:11:53
357020141242957604,6-12-01-18-999-01,6-12-01-18-035-40,15.03.2021 15:11:06,15.03.2021 15:11:49
357020141243063458,6-12-08-02-888-01,6-12-08-02-888-01,15.03.2021 15:11:49,15.03.2021 15:12:01
357020141084140004,6-13-01-09-040-10,6-13-05-01-001-01,15.03.2021 15:11:59,15.03.2021 15:13:12
357020141243002839,6-12-01-18-999-01,6-12-01-18-017-30,15.03.2021 15:12:08,15.03.2021 15:12:41
357020141243073112,6-13-03-01-999-01,6-13-01-05-999-01,15.03.2021 15:12:15,15.03.2021 15:12:21
357020141242930577,6-12-01-08-999-01,6-12-01-08-021-50,15.03.2021 15:12:17,15.03.2021 15:13:07
357020141242957246,6-12-01-18-999-01,6-12-01-18-047-50,15.03.2021 15:12:55,15.03.2021 15:13:42
357020141243065735,6-12-03-04-920-01,6-12-80-90-045-01,15.03.2021 15:12:59,15.03.2021 15:12:59
357020141243066763,6-12-03-04-920-01,6-12-80-90-045-01,15.03.2021 15:13:02,15.03.2021 15:13:02
357020141236729613,6-13-01-24-045-23,6-13-01-25-999-01,15.03.2021 15:13:07,15.03.2021 15:13:18
357020141236730862,6-13-01-25-054-21,6-13-01-25-998-01,15.03.2021 15:13:31,15.03.2021 15:13:38
357020141242907470,6-12-01-08-999-01,6-12-01-08-035-40,15.03.2021 15:13:34,15.03.2021 15:14:06
357020141243034601,6-13-20-02-023-01,6-13-66-60-006-02,15.03.2021 15:13:35,15.03.2021 15:14:21
357020141242968143,6-12-01-18-999-01,6-12-01-18-049-60,15.03.2021 15:14:06,15.03.2021 15:14:50
357020141243010261,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:14:15,15.03.2021 15:14:58
357020141243026804,6-13-20-02-021-01,SPE_11,15.03.2021 15:14:25,15.03.2021 15:14:33
357020141242919756,6-12-01-08-998-01,6-12-01-08-024-40,15.03.2021 15:14:36,15.03.2021 15:15:08
357020141243069719,6-13-20-02-023-01,SPE_29,15.03.2021 15:15:01,15.03.2021 15:15:13
357020141243048691,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:15:14,15.03.2021 15:15:16
357020141243069092,6-13-20-02-022-01,6-13-77-21-999-01,15.03.2021 15:15:15,15.03.2021 15:17:07
357020141242919718,6-12-01-08-998-01,6-12-01-08-028-50,15.03.2021 15:15:34,15.03.2021 15:16:10
357020141242995620,6-12-01-17-999-01,6-12-01-17-998-01,15.03.2021 15:15:43,15.03.2021 15:15:45
357020141240378210,6-12-01-19-999-01,LPE_13,15.03.2021 15:15:46,15.03.2021 15:15:49
357020141242995620,6-12-01-17-998-01,6-12-01-17-028-40,15.03.2021 15:15:48,15.03.2021 15:16:27
357020141241257842,6-12-01-19-999-01,LPE_13,15.03.2021 15:15:51,15.03.2021 15:15:53
357020141243029805,6-13-20-02-021-01,6-13-66-60-011-02,15.03.2021 15:15:51,15.03.2021 15:15:54
357020141243026804,SPE_11,6-13-66-60-011-01,15.03.2021 15:15:56,15.03.2021 15:16:00
357020141242996498,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:16:06,15.03.2021 15:16:08
357020141238832373,6-12-01-19-999-01,LPE_13,15.03.2021 15:16:08,15.03.2021 15:16:11
357020141240378241,6-12-01-19-999-01,LPE_13,15.03.2021 15:16:13,15.03.2021 15:16:16
357020141241465995,6-13-01-02-998-01,LPE_14,15.03.2021 15:16:15,15.03.2021 15:16:20
357020141243001016,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:16:15,15.03.2021 15:16:16
357020141241933050,6-13-01-02-998-01,LPE_14,15.03.2021 15:16:23,15.03.2021 15:16:27
357020141237834798,6-13-01-02-998-01,6-13-03-80-021-01,15.03.2021 15:16:29,15.03.2021 15:19:09
357020141241465667,6-13-01-02-999-01,6-13-01-01-998-01,15.03.2021 15:16:38,15.03.2021 15:16:43
357020141243075260,6-13-03-01-999-01,6-13-01-12-999-01,15.03.2021 15:16:53,15.03.2021 15:20:02
357020141243060259,6-12-20-03-234-01,SPE_39,15.03.2021 15:17:06,15.03.2021 15:17:31
357020141243069719,SPE_29,6-13-77-23-999-01,15.03.2021 15:17:09,15.03.2021 15:17:11
357020141243058928,6-02-80-80-004-01,6-02-80-80-004-01,15.03.2021 15:17:13,15.03.2021 15:17:16
357020141243058966,6-02-80-80-004-01,6-02-80-80-004-01,15.03.2021 15:17:19,15.03.2021 15:17:22
357020141239082234,6-12-01-17-046-23,6-12-01-17-046-70,15.03.2021 15:17:25,15.03.2021 15:18:22
357020141242960215,6-12-01-06-998-01,6-12-01-06-042-22,15.03.2021 15:17:32,15.03.2021 15:18:11
357020141243037787,6-12-20-02-075-01,6-02-01-07-888-01,15.03.2021 15:17:32,15.03.2021 15:18:10
357020141243061928,6-12-20-03-234-01,6-12-33-03-999-01,15.03.2021 15:17:33,15.03.2021 15:18:22
357020141243054937,6-12-20-03-234-01,6-12-03-01-040-01,15.03.2021 15:17:39,15.03.2021 15:17:53
357020141243050120,6-12-20-03-232-01,6-12-20-03-231-01,15.03.2021 15:17:40,15.03.2021 15:17:43
357020141243053572,6-12-20-03-232-01,6-12-44-27-999-01,15.03.2021 15:17:45,15.03.2021 15:19:19
357020141238560719,6-02-01-05-025-30,6-02-01-05-999-01,15.03.2021 15:18:07,15.03.2021 15:18:55
357020141243018335,6-12-20-02-075-01,6-02-01-07-888-01,15.03.2021 15:18:12,15.03.2021 15:18:15
357020141243066763,6-12-80-90-045-01,6-12-80-90-045-01,15.03.2021 15:18:13,15.03.2021 15:18:21
357020141238832373,LPE_13,6-12-03-80-042-01,15.03.2021 15:18:20,15.03.2021 15:18:22
357020141243065735,6-12-80-90-045-01,6-12-80-90-045-01,15.03.2021 15:18:23,15.03.2021 15:18:24
357020141243060259,SPE_39,6-12-33-03-999-01,15.03.2021 15:18:23,15.03.2021 15:18:27
